depth,degree,lambda_lb,lambda_ub,method,ll_diff,rel_mu_err,rel_lambda_err,time,infeasible_lambdas,infeasible_type
4,5,0.5,1,fullback_mm,2.4026,0.40741,0.20919,88.4951,0,0
4,5,0.5,1,gdmu,12.7014,0.33844,0.091371,166.3254,0,0
4,5,0.5,1,knitro,212.5495,1.4988,0.16905,82.1981,1,10
4,6,0.5,1,fullback_mm,2.9807,0.42422,0.25061,177.7591,0,0
4,6,0.5,1,gdmu,15.4545,0.34017,0.085386,81.8506,0,0
4,6,0.5,1,knitro,126.9968,1.5577,0.1687,352.2847,0,0
4,7,0.5,1,fullback_mm,2.58,0.43175,0.26442,375.4603,0,0
4,7,0.5,1,gdmu,24.6694,0.34343,0.0916,173.8637,0,0
4,7,0.5,1,knitro,69.6089,1.4928,0.13449,1346.3656,1,20
4,8,0.5,1,fullback_mm,2.1598,0.44382,0.27273,772.4025,0,0
4,8,0.5,1,gdmu,88.6052,0.34546,0.068886,358.3876,0,0
4,8,0.5,1,knitro,70.6665,1.4817,0.12832,4777.9418,1,10
5,5,0.5,1,fullback_mm,3.6657,0.42433,0.25256,727.8945,0,0
5,5,0.5,1,gdmu,19.0416,0.34307,0.087414,302.2779,0,0
5,5,0.5,1,knitro,55.0757,1.5277,0.16715,3711.1511,1,20
5,6,0.5,1,fullback_mm,3.2539,0.43251,0.27382,2078.8566,0,0
5,6,0.5,1,gdmu,32.2147,0.34152,0.083729,1087.6551,0,0
5,6,0.5,1,knitro,21.3874,1.0564,0.16803,10631.6737,1,30
5,7,0.5,1,fullback_mm,2.7929,0.44236,0.28438,6515.9661,0,0
5,7,0.5,1,gdmu,101.8266,0.34665,0.067089,3767.5249,0,0
5,7,0.5,1,knitro,629.1467,1,0.32928,15081.9127,0,0
5,8,0.5,1,fullback_mm,2.5314,0.45232,0.2959,21749.4929,0,0
5,8,0.5,1,gdmu,144.2592,0.35119,0.066535,14077.3276,0,0
